OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WA,USGS Washington Water Science Center,USGS-12465500,"WILSON CREEK AT WILSON CREEK, WA",Stream,,17020013,427.00,sq mi,,,47.43042300000000,-119.1039046000000,,1,seconds,Interpolated from MAP.,NAD83,1280.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12466150,"CRAB CREEK BELOW BROOK LAKE NEAR STRATFORD, WA",Stream,,17020013,,,,,47.42768330000000,-119.2731056000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1249,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12467000,"CRAB CREEK NEAR MOSES LAKE, WA",Stream,,17020015,2228,sq mi,,,47.18930850000000,-119.2658550000000,,1,seconds,Interpolated from MAP.,NAD83,1070.39,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12470600,"ROCKY FORD CREEK AT SR 17 NEAR EPHRATA, WA",Stream,,17020015,,,,,47.26152820000000,-119.4555883000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12505450,"GRANGER DRAIN AT GRANGER, WA",Stream,,17030003,,,62.0,sq mi,46.34346299000000,-120.1869950000000,24000,1,seconds,Interpolated from MAP.,NAD83,720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12509489,"YAKIMA RIVER AT PROSSER, WA",Stream,,17030003,,,,,46.21243610000000,-119.7656833000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,636,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12510500,"YAKIMA RIVER AT KIONA, WA",Stream,,17030003,5615,sq mi,,,46.25346748000000,-119.4780794000000,,1,seconds,Interpolated from MAP.,NAD83,454.41,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12511800,"YAKIMA RIVER AT VAN GIESEN BR NEAR RICHLAND, WA",Stream,,17030003,,,,,46.29707940000000,-119.3333527000000,24000,1,seconds,Interpolated from MAP.,NAD83,365,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-454401121262601,03N/11E-21E01   PAS19,Well,,17070105,,,,,45.73345318000000,-121.4417394000000,24000,.5,seconds,Reported.,NAD83,2168,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,039,Columbia Plateau basaltic-rock aquifers,,,,,240,ft,240,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-455217121280401,05N/11E-31R01  PAS01,Well,,17070105,,,,,45.87123166000000,-121.4689656000000,24000,5,seconds,Reported.,NAD83,1381,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,039,Columbia Plateau basaltic-rock aquifers,,,,19650203,600,ft,600,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460140118192801,06N/36E-37R01  PAS20,Well,,17070102,,,,,46.02727778000000,-118.3258889000000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,943,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,,787,ft,787,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460243118225401,07N/35E-36F03  PAS24,Well,,17070102,,,,,46.04522220000000,-118.3826667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,802,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,19470101,708,ft,708,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460813118091301,08N/37E-26N01   PAS12,Well,,17070102,,,,,46.13747220000000,-118.1545833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1615,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,19690430,512,ft,512,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461431119502001,09N/24E-29B01 PAS17,Well,,17030003,,,,,46.24179916000000,-119.8400360000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,53,005,Columbia Plateau basin-fill aquifers,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461801118182602,10N/36E-33J02   PAS04,Well,,17070102,,,,,46.30023889000000,-118.3084194000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1064,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,,19680101,484,ft,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461945120011801,10N/22E-26A01   PAS06,Well,,17030003,,,,,46.32905880000000,-120.0230517000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,745,feet,5,feet,Interpolated from topographic map.,NGVD29,US,53,077,Columbia Plateau basin-fill aquifers,,,,,385,ft,440,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-462316119115101,11N/29E-32R01   MW-SU-086,Well,,17020016,,,,,46.38750000000000,-119.1986110000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,723,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,021,Columbia Plateau basin-fill aquifers,,Middle Part of Ringold Formation,Confined multiple aquifers,19770420,363,ft,371,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-462329117042701,11N/46E-32E01,Well,,17060103,,,,,46.39127148000000,-117.0751586000000,24000,5,seconds,Interpolated from MAP.,NAD83,1183,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,003,,,Grande Ronde Basalt Formation,,19770204,1340,ft,1340,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-462815117350201,11N/42E-05C01   PAS13,Well,,17060107,,,,,46.47083330000000,-117.5847222000000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,1891,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,023,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,,19420101,347,ft,347,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-462833117360701,12N/42E-31L01   PAS14,Well,,17060107,,,,,46.47527778000000,-117.6013889000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1892,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,023,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,,19550125,997,ft,997,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-463435120325101,13N/18E-35D04 SWQA3,Well,,17030003,,,,,46.57804300000000,-120.5512051000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1110,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,Columbia Plateau basin-fill aquifers,,Unclassified Overburden,,19910102,1171,ft,1171,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-464016119543901,14N/23E-26M01   PAS07,Well,,17020016,,,,,46.67182220000000,-119.9159417000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,533,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basin-fill aquifers,,Pasco Gravels,,19751125,91,ft,93,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-464517119100301,15N/29E-27P02   MW-SU-102,Well,,17020016,,,,,46.75458469000000,-119.1686237000000,,10,seconds,Interpolated from MAP.,NAD83,931,feet,100,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,001,,,,,19760123,280,ft,280,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-464528122061501,15N/06E-30E01   SU-022,Well,,17110015,,,,,46.75580278000000,-122.0992750000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1450,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,053,Puget Sound aquifer system,,Unclassified Overburden,,19921116,78,ft,78,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-464844117523101,15N/39E-02Q01   SU13,Well,,17060108,,,,,46.81299720000000,-117.8756250000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1557.94,feet,45,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,075,Columbia Plateau basaltic-rock aquifers,,Columbia River Basalt Group,Unconfined single aquifer,19390207,273,ft,273,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465120122352201,16N/02E-20N01   SU-011,Well,,17110016,,,,,46.85318889000000,-122.5809278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,430,feet,05,feet,Interpolated from topographic map.,NGVD29,US,53,067,Puget Sound aquifer system,,Unclassified Overburden,,19921116,58,ft,58,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465152118383801,13N/31E-01E01   SU022,Well,,17020016,,,,,46.64372220000000,-118.8738056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,860,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,021,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,Unconfined single aquifer,19771013,1325,ft,1325,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465532122232001,17N/03E-28N04   SU-12A,Well,,17110015,,,,,46.92421110000000,-122.4401917000000,,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,480,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,053,Puget Sound aquifer system,,Glacio-Fluviatile,,,78,ft,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465543119081921,17N/29E-26Q01 PAS02,Well,,17020015,,,,,46.92847518000000,-119.1397350000000,,5,seconds,Interpolated from MAP.,NAD83,1129,feet,100,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basaltic-rock aquifers,,,,19840412,335,ft,335,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465913122314001,17N/02E-03J03,Well,,17110015,,,,,46.98592778000000,-122.5312028000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,360,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,053,Puget Sound aquifer system,,Glacio-Fluviatile,,19921125,100,ft,100,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465927122492101,17N/01W-05H02   SU-001,Well,,17110016,,,,,46.99067220000000,-122.8240889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,210,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,067,Puget Sound aquifer system,,Unclassified Overburden,,19880730,68,ft,68,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-465954120320701,17N/18E-01D02  PAS21,Well,,17030001,,,,,46.99847220000000,-120.5351944000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,1570,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,037,Columbia Plateau basin-fill aquifers,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470105117084422,18N/45E-33D22   PAS30,Well,,17060108,,,,,47.01794879000000,-117.1465634000000,,5,seconds,Interpolated from MAP.,NAD83,2578,feet,100,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,075,Columbia Plateau basaltic-rock aquifers,,,,19890420,315,ft,315,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470243122585501,18N/02W-18L04 SWQA02,Well,,17110019,,,,,47.04315187000000,-122.9870882000000,,3,seconds,Interpolated from MAP.,NAD83,29,feet,45,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,067,Puget Sound aquifer system,,Unclassified Overburden,,19930827,170.58,ft,183,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470345122100701,18N/05E-09H04   SU-021,Well,,17110014,,,,,47.06086667000000,-122.1710556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,053,Puget Sound aquifer system,,Glacio-Fluviatile,,19930601,40,ft,40,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470351120394801,18N/17E-12M01 PAS23,Well,,17030001,,,,,47.06420556000000,-120.6634222000000,,.5,seconds,Differentially corrected Global Positioning System.,NAD83,1625,feet,100,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,037,Columbia Plateau basin-fill aquifers,,,,19860428,720,ft,720,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470414122513901,18N/01W-06N02   MW-SU-002,Well,,17110019,,,,,47.07269720000000,-122.8638278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,067,Puget Sound aquifer system,,Glacio-Fluviatile,Unconfined single aquifer,19930524,72,ft,75,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470430119334801,18N/26E-04Q01 PN90,Well,,17020015,,,,,47.07632500000000,-119.5667194000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1160,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basin-fill aquifers,,Glacio-Fluviatile,Unconfined single aquifer,19940609,54,ft,56,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470619123271701,19N/06W-29G01,Well,,17100104,,,,,47.10522220000000,-123.4546389000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,227,feet,21,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,045,Other aquifers,,,,20031117,180,ft,180,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470639122262101,19N/03E-27D01   SU-13,Well,,17110019,,,,,47.10986667000000,-122.4185250000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,360,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,053,Puget Sound aquifer system,,Glacio-Fluviatile,,19750815,40,ft,40,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470655120465301,19N/16E-25C02   PAS05,Well,,17030001,,,,,47.11497230000000,-120.7835525000000,24000,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2240,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,037,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,,19690601,500,ft,500,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470727119113401,19N/29E-21E01  PAS03,Well,,17020015,,,,,47.12402778000000,-119.1938889000000,,5,seconds,Interpolated from MAP.,NAD83,1210,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basaltic-rock aquifers,,,,19940104,1240,ft,1240,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470803119480001,19N/24E-15Q02 PN37R,Well,,17020015,,,,,47.13408330000000,-119.8002222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1229,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basin-fill aquifers,,Glacio-Fluviatile,,20020518,21.0,ft,23.0,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470807118225201,19N/35E-14N01   MW-SU-030,Well,,17020015,,,,,47.13515000000000,-118.3821976000000,24000,5,seconds,Interpolated from MAP.,NAD83,1979,feet,1,feet,Level or other surveyed method.,NGVD29,US,53,001,Columbia Plateau basaltic-rock aquifers,,Columbia River Basalt Group,Unconfined multiple aquifer,19580404,789,ft,789,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-470915119182601,19N/28E-09G02 PAS18,Well,,17020015,,,,,47.15404720000000,-119.3071917000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,1175,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basin-fill aquifers,,,,20020819,743,ft,743,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471110119151001,20N/28E-36D02,Well,,17020015,,,,,47.18611110000000,-119.2527778000000,24000,5,seconds,Reported.,NAD83,1103,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,58,ft,58,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471119122283101,20N/03E-30L14,Well,,17110019,,,,,47.18843200000000,-122.4765126000000,24000,1,seconds,Interpolated from MAP.,NAD83,261,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,053,Puget Sound aquifer system,,,,19891103,112,ft,131,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471120119485901,20N/24E-33B03 PN33R,Well,,17020015,,,,,47.18888889000000,-119.8162778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1246,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basin-fill aquifers,,Glacio-Fluviatile,,20020517,21.5,ft,23.5,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471121119172201,20N/28E-34C01,Well,,17020015,,,,,47.18916667000000,-119.2894444000000,24000,5,seconds,Reported.,NAD83,1144,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,76,ft,78.5,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471129122514801,20N/01W-30M02,Well,,17110019,,,,,47.19050000000000,-122.8643610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,262,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,045,Puget Sound aquifer system,,,,19770711,309,ft,309,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471213117544901,20N/39E-28F02  PAS22,Well,,17060109,,,,,47.20369440000000,-117.9135833000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,1984,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,075,Columbia Plateau basaltic-rock aquifers,,,,20050719,285,ft,600,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471413119511401,20N/24E-07P01   PAS08,Well,,17020015,,,,,47.23596620000000,-119.8647730000000,24000,5,seconds,Interpolated from MAP.,NAD83,1317,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,Columbia Plateau basaltic-rock aquifers,,,,19690915,406,ft,406,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471424123193501,20N/05W-09D01,Well,,17100104,,,,,47.23996940000000,-123.3264194000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,480,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,045,Pacific Northwest basin-fill aquifers,,,,19940815,60,ft,60,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471502119174101,20N/28E-03N01,Well,,17020015,,,,,47.25055556000000,-119.2947222000000,24000,5,seconds,Reported.,NAD83,1119,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,17.1,ft,17.1,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471503119172701,Gloyd Seeps at 20N/28E-03P02   WA,Spring,,17020015,,,,,47.25083330000000,-119.2908333000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,1141,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471907122200401,21N/04E-07R02 SWQA09,Well,,17110019,,,,,47.31855556000000,-122.3366944000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,346,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,033,Puget Sound aquifer system,,Unclassified Overburden,Unconfined single aquifer,19790503,230,ft,236,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471919119261401,21N/27E-16G01,Well,,17020015,,,,,47.32194440000000,-119.4372222000000,24000,5,seconds,Reported.,NAD83,1120,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471921119261401,21N/27E-16B01,Well,,17020015,,,,,47.32250000000000,-119.4372222000000,24000,5,seconds,Reported.,NAD83,1129,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471923119261501,21N/27E-16C02,Well,,17020015,,,,,47.32305556000000,-119.4375000000000,24000,5,seconds,Reported.,NAD83,1117,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471923119261801,Rocky Ford Spring at 21N/27E-16C01  WA,Spring,,17020015,,,,,47.32305556000000,-119.4383333000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,1083,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-471928118412501,21N/33E-08K01   PAS29,Well,,17020013,,,,,47.32320227000000,-118.6899940000000,24000,1,seconds,Interpolated from MAP.,NAD83,1692,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,043,Columbia Plateau basaltic-rock aquifers,,Grande Ronde Basalt Formation,,19651201,595,ft,595,ft,NWIS
