OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600783,Sample-Routine,Water,Surface Water,2016-01-19,08:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 Teflon bottle,NWIS-103207863,,,Nitrate,Dissolved,1.07,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600783,Sample-Routine,Water,Surface Water,2016-01-19,08:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 Teflon bottle,NWIS-103208143,,,Nitrate,Dissolved,4.74,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601494,Sample-Routine,Water,Surface Water,2016-08-27,14:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12447390,,,,"Stable, low stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-105723865,,,Nitrate,Dissolved,0.014,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601494,Sample-Routine,Water,Surface Water,2016-08-27,14:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12447390,,,,"Stable, low stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-105723891,,,Nitrate,Dissolved,0.060,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601450,Sample-Routine,Water,Groundwater,2016-08-09,11:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-460140118192801,,L-2230125 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-107475099,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.040,mg/l as N,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601450,Sample-Routine,Water,Groundwater,2016-08-09,11:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-460140118192801,,L-2230125 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-107475562,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.177,mg/l asNO3,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700346,Sample-Routine,Water,Surface Water,2016-12-12,13:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-106378377,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.010,mg/l as N,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700346,Sample-Routine,Water,Surface Water,2016-12-12,13:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-106378409,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.044,mg/l asNO3,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601382,Sample-Routine,Water,Groundwater,2016-07-11,09:20:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-464517119100301,,L-1950053 Samples were received chilled at the WHOI lab.  Added fld alk per Huffman. KB 8/15/16. Changed Time from 0720 to 0920 per R. Huffman. JPC 9/15/16,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105180167,,,Nitrate,Dissolved,4.90,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601382,Sample-Routine,Water,Groundwater,2016-07-11,09:20:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-464517119100301,,L-1950053 Samples were received chilled at the WHOI lab.  Added fld alk per Huffman. KB 8/15/16. Changed Time from 0720 to 0920 per R. Huffman. JPC 9/15/16,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105180630,,,Nitrate,Dissolved,21.7,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700292,Sample-Routine,Water,Groundwater,2016-11-08,10:30:00,PST,,,,,2.9,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-106300148,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.040,mg/l as N,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700292,Sample-Routine,Water,Groundwater,2016-11-08,10:30:00,PST,,,,,2.9,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-106300154,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.177,mg/l asNO3,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601625,Sample-Routine,Water,Groundwater,2016-09-13,13:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465927122492101,,,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105831587,,,Nitrate,Dissolved,3.46,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601625,Sample-Routine,Water,Groundwater,2016-09-13,13:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465927122492101,,,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105831778,,,Nitrate,Dissolved,15.3,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601634,Sample-Routine,Water,Groundwater,2016-09-15,11:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-475313121543701,,L-3208712 Samples were received chilled at the WHOI lab.  FED EX LATE DELIVERY   Ok to login warm samples per R. Huffman. JPC 9/19/16 Chilled containers received warm at 17.0  Degrees C  FED EX LATE DELIVERY   Ok to login warm samples per R. Huffman. JPC 9/19/16 Chilled containers received warm at 1,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105941103,,,Nitrate,Dissolved,1.43,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601634,Sample-Routine,Water,Groundwater,2016-09-15,11:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-475313121543701,,L-3208712 Samples were received chilled at the WHOI lab.  FED EX LATE DELIVERY   Ok to login warm samples per R. Huffman. JPC 9/19/16 Chilled containers received warm at 17.0  Degrees C  FED EX LATE DELIVERY   Ok to login warm samples per R. Huffman. JPC 9/19/16 Chilled containers received warm at 1,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105941293,,,Nitrate,Dissolved,6.35,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601483,Sample-Routine,Water,Groundwater,2016-08-25,13:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-480638122125101,,L-2390142 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105625467,,,Nitrate,Dissolved,3.93,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601483,Sample-Routine,Water,Groundwater,2016-08-25,13:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-480638122125101,,L-2390142 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105625926,,,Nitrate,Dissolved,17.4,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601134,Sample-Routine,Water,Surface Water,2016-03-29,08:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,Rising stage,Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US D-95 Teflon bottle,NWIS-103572867,,,Nitrate,Dissolved,0.440,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601134,Sample-Routine,Water,Surface Water,2016-03-29,08:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,Rising stage,Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US D-95 Teflon bottle,NWIS-103573143,,,Nitrate,Dissolved,1.95,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600782,Sample-Routine,Water,Surface Water,2016-01-13,12:40:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-103192905,,,Nitrate,Dissolved,0.043,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600782,Sample-Routine,Water,Surface Water,2016-01-13,12:40:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-103192929,,,Nitrate,Dissolved,0.189,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700331,Quality Control Sample-Field Replicate,Water,Groundwater,2016-11-14,09:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-473049122333501,,L-3200081 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106307803,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.040,mg/l as N,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700331,Quality Control Sample-Field Replicate,Water,Groundwater,2016-11-14,09:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-473049122333501,,L-3200081 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106307993,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.177,mg/l asNO3,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600923,Sample-Routine,Water,Surface Water,2016-02-24,12:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,"L-0560001 Sample type is missing in mandatory field, AAN  Added medium code WS and sample type 9 per Peterson. 2/25/2016 mec",,"Stable, normal stage",Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-103392298,,,Nitrate,Dissolved,0.021,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
