result_id,site_id,site_name,lat,lon,huc8,state_fips,county_fips5,provider,sample_date,chemical,water_type,location_type,activity_media,activity_media_sub,is_nondetect,value_for_stats,value_std,std_unit,rl_raw,detect_condition
STORET-1029249482,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-06-28,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029290687,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-08-29,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029303883,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-10-03,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029335391,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-12-27,ortho,surface_water,NULL,Water,Surface Water,0,0.016,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030097561,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2019-02-28,ortho,surface_water,NULL,Water,Surface Water,0,8.0000000000000002E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030117340,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2019-04-25,ortho,surface_water,NULL,Water,Surface Water,0,0.039,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030148390,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2019-06-25,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030178150,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2019-10-01,ortho,surface_water,NULL,Water,Surface Water,0,0.016,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030214934,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2020-01-09,ortho,surface_water,NULL,Water,Surface Water,0,0.016,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030226375,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2020-02-27,ortho,surface_water,NULL,Water,Surface Water,0,0.012,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030310294,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2020-09-23,ortho,surface_water,NULL,Water,Surface Water,0,0.02,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030352658,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2020-08-25,ortho,surface_water,NULL,Water,Surface Water,0,8.9999999999999993E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030357264,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2020-12-17,ortho,surface_water,NULL,Water,Surface Water,0,1.4999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1030718529,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2024-02-22,ortho,surface_water,NULL,Water,Surface Water,0,0.02,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1036833834,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2024-04-23,ortho,surface_water,NULL,Water,Surface Water,0,5.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1041100076,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2024-06-20,ortho,surface_water,NULL,Water,Surface Water,0,3.5999999999999997E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1047019333,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2024-08-14,ortho,surface_water,NULL,Water,Surface Water,0,8.9999999999999993E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1052561633,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2019-08-28,ortho,surface_water,NULL,Water,Surface Water,0,8.0000000000000002E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1052576935,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-10-26,ortho,surface_water,NULL,Water,Surface Water,0,0.02,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1057549884,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2024-12-19,ortho,surface_water,NULL,Water,Surface Water,0,1.7999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1071442016,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-02-19,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1071442038,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-02-19,ortho,surface_water,NULL,Water,Surface Water,0,5.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1075055322,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-06-17,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1096749443,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-08-12,ortho,surface_water,NULL,Water,Surface Water,0,1.2999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1096749468,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-08-12,ortho,surface_water,NULL,Water,Surface Water,0,1.0999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1098179598,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-10-09,ortho,surface_water,NULL,Water,Surface Water,0,2.5000000000000001E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1098179624,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2025-10-09,ortho,surface_water,NULL,Water,Surface Water,0,0.024,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-849755573,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2016-06-23,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-849755587,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2016-08-10,ortho,surface_water,NULL,Water,Surface Water,0,0.01,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-850315108,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2017-10-04,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-854905931,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2016-04-28,ortho,surface_water,NULL,Water,Surface Water,0,1.2999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-854905973,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2016-02-18,ortho,surface_water,NULL,Water,Surface Water,0,0.016,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-855306997,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2017-04-11,ortho,surface_water,NULL,Water,Surface Water,0,0.023,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-855307009,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2016-10-20,ortho,surface_water,NULL,Water,Surface Water,0,0.019,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-855307019,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2017-03-23,ortho,surface_water,NULL,Water,Surface Water,0,4.5999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-855996106,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2017-08-10,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-855996118,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2017-07-19,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-966519096,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2021-02-24,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-966543893,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2021-04-21,ortho,surface_water,NULL,Water,Surface Water,0,5.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-966573134,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2021-06-23,ortho,surface_water,NULL,Water,Surface Water,0,7.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-966576123,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2021-08-25,ortho,surface_water,NULL,Water,Surface Water,0,1.0999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-966614287,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2021-10-28,ortho,surface_water,NULL,Water,Surface Water,0,0.02,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-968501239,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-01-05,ortho,surface_water,NULL,Water,Surface Water,0,0.01,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-968503698,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-02-17,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-991121334,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-08-02,ortho,surface_water,NULL,Water,Surface Water,0,8.0000000000000002E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-991129832,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-06-22,ortho,surface_water,NULL,Water,Surface Water,0,1.7999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-991131065,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2022-12-19,ortho,surface_water,NULL,Water,Surface Water,0,1.4999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-823783020,PALERMOWELLFIELD_WQX-MW-109,MW-109,47.0009203336,-122.912447093,17110016,53,53067,STORET,2019-10-09,nitrate,groundwater,NULL,Water,Groundwater,0,1.7,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101037,PALERMOWELLFIELD_WQX-MW-109,MW-109,47.0009203336,-122.912447093,17110016,53,53067,STORET,2018-10-24,nitrate,groundwater,NULL,Water,Groundwater,0,2.1000000000000001,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797308348,PALERMOWELLFIELD_WQX-MW-109,MW-109,47.0009203336,-122.912447093,17110016,53,53067,STORET,2019-05-01,nitrate,groundwater,NULL,Water,Groundwater,0,1.8,NULL,mg/L as N,0.10000000000000001,NULL
STORET-735797779,PALERMOWELLFIELD_WQX-MW-109,MW-109,47.0009203336,-122.912447093,17110016,53,53067,STORET,2018-05-16,nitrate,groundwater,NULL,Water,Groundwater,0,3.0,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735797805,PALERMOWELLFIELD_WQX-MW-110,MW-110,47.003123000000002,-122.903029,17110016,53,53067,STORET,2018-05-21,nitrate,groundwater,NULL,Water,Groundwater,0,0.14999999999999999,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797308374,PALERMOWELLFIELD_WQX-MW-110,MW-110,47.003123000000002,-122.903029,17110016,53,53067,STORET,2019-05-08,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101062,PALERMOWELLFIELD_WQX-MW-110,MW-110,47.003123000000002,-122.903029,17110016,53,53067,STORET,2018-10-31,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783046,PALERMOWELLFIELD_WQX-MW-110,MW-110,47.003123000000002,-122.903029,17110016,53,53067,STORET,2019-10-16,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783072,PALERMOWELLFIELD_WQX-MW-111,MW-111,47.001893451999997,-122.9114525,17110016,53,53067,STORET,2019-10-15,nitrate,groundwater,NULL,Water,Groundwater,0,0.80000000000000004,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101088,PALERMOWELLFIELD_WQX-MW-111,MW-111,47.001893451999997,-122.9114525,17110016,53,53067,STORET,2018-10-24,nitrate,groundwater,NULL,Water,Groundwater,0,1.3,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797308400,PALERMOWELLFIELD_WQX-MW-111,MW-111,47.001893451999997,-122.9114525,17110016,53,53067,STORET,2019-05-07,nitrate,groundwater,NULL,Water,Groundwater,0,0.90000000000000002,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735797831,PALERMOWELLFIELD_WQX-MW-111,MW-111,47.001893451999997,-122.9114525,17110016,53,53067,STORET,2018-05-17,nitrate,groundwater,NULL,Water,Groundwater,0,0.68999999999999995,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735798075,PALERMOWELLFIELD_WQX-MW-DG-03,MW-DG-03,47.000809016300003,-122.912261926,17110016,53,53067,STORET,2018-05-16,nitrate,groundwater,NULL,Water,Groundwater,0,0.22,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797309875,PALERMOWELLFIELD_WQX-MW-DG-03,MW-DG-03,47.000809016300003,-122.912261926,17110016,53,53067,STORET,2019-05-01,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101886,PALERMOWELLFIELD_WQX-MW-DG-03,MW-DG-03,47.000809016300003,-122.912261926,17110016,53,53067,STORET,2018-10-24,nitrate,groundwater,NULL,Water,Groundwater,0,5.0999999999999997E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783267,PALERMOWELLFIELD_WQX-MW-DG-03,MW-DG-03,47.000809016300003,-122.912261926,17110016,53,53067,STORET,2019-10-09,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783306,PALERMOWELLFIELD_WQX-MW-DG-05,MW-DG-05,47.001612628099998,-122.91290063300001,17110016,53,53067,STORET,2019-10-08,nitrate,groundwater,NULL,Water,Groundwater,0,0.63,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101923,PALERMOWELLFIELD_WQX-MW-DG-05,MW-DG-05,47.001612628099998,-122.91290063300001,17110016,53,53067,STORET,2018-10-23,nitrate,groundwater,NULL,Water,Groundwater,0,5.0000000000000003E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797309913,PALERMOWELLFIELD_WQX-MW-DG-05,MW-DG-05,47.001612628099998,-122.91290063300001,17110016,53,53067,STORET,2019-04-30,nitrate,groundwater,NULL,Water,Groundwater,0,0.45000000000000001,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735798242,PALERMOWELLFIELD_WQX-MW-DG-05,MW-DG-05,47.001612628099998,-122.91290063300001,17110016,53,53067,STORET,2018-05-15,nitrate,groundwater,NULL,Water,Groundwater,0,5.0999999999999997E-2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735798410,PALERMOWELLFIELD_WQX-MW-DG-07,MW-DG-07,47.001787574300003,-122.912136782,17110016,53,53067,STORET,2018-05-16,nitrate,groundwater,NULL,Water,Groundwater,0,0.40000000000000002,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797309951,PALERMOWELLFIELD_WQX-MW-DG-07,MW-DG-07,47.001787574300003,-122.912136782,17110016,53,53067,STORET,2019-05-08,nitrate,groundwater,NULL,Water,Groundwater,0,0.19,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101962,PALERMOWELLFIELD_WQX-MW-DG-07,MW-DG-07,47.001787574300003,-122.912136782,17110016,53,53067,STORET,2018-10-23,nitrate,groundwater,NULL,Water,Groundwater,0,0.23999999999999999,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783345,PALERMOWELLFIELD_WQX-MW-DG-07,MW-DG-07,47.001787574300003,-122.912136782,17110016,53,53067,STORET,2019-10-14,nitrate,groundwater,NULL,Water,Groundwater,0,0.40999999999999998,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783371,PALERMOWELLFIELD_WQX-MW-DG-08,MW-DG-08,47.002263540500003,-122.910290182,17110016,53,53067,STORET,2019-10-10,nitrate,groundwater,NULL,Water,Groundwater,0,1.7,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778101988,PALERMOWELLFIELD_WQX-MW-DG-08,MW-DG-08,47.002263540500003,-122.910290182,17110016,53,53067,STORET,2018-10-25,nitrate,groundwater,NULL,Water,Groundwater,0,2.5,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797309977,PALERMOWELLFIELD_WQX-MW-DG-08,MW-DG-08,47.002263540500003,-122.910290182,17110016,53,53067,STORET,2019-05-02,nitrate,groundwater,NULL,Water,Groundwater,0,2.1000000000000001,NULL,mg/L as N,0.10000000000000001,NULL
STORET-735798500,PALERMOWELLFIELD_WQX-MW-DG-08,MW-DG-08,47.002263540500003,-122.910290182,17110016,53,53067,STORET,2018-05-17,nitrate,groundwater,NULL,Water,Groundwater,0,2.3999999999999999,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-735798590,PALERMOWELLFIELD_WQX-MW-DG-09,MW-DG-09,47.000952508600001,-122.909868444,17110016,53,53067,STORET,2018-05-22,nitrate,groundwater,NULL,Water,Groundwater,0,1.2,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-797310003,PALERMOWELLFIELD_WQX-MW-DG-09,MW-DG-09,47.000952508600001,-122.909868444,17110016,53,53067,STORET,2019-05-06,nitrate,groundwater,NULL,Water,Groundwater,0,1.1000000000000001,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-778102014,PALERMOWELLFIELD_WQX-MW-DG-09,MW-DG-09,47.000952508600001,-122.909868444,17110016,53,53067,STORET,2018-10-26,nitrate,groundwater,NULL,Water,Groundwater,0,0.84999999999999998,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783397,PALERMOWELLFIELD_WQX-MW-DG-09,MW-DG-09,47.000952508600001,-122.909868444,17110016,53,53067,STORET,2019-10-09,nitrate,groundwater,NULL,Water,Groundwater,0,1.0,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-823783459,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2019-10-14,nitrate,groundwater,NULL,Water,Groundwater,0,8.0999999999999996,NULL,mg/L as N,0.25,NULL
STORET-823783460,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2019-10-14,nitrate,groundwater,NULL,Water,Groundwater,0,8.0999999999999996,NULL,mg/L as N,0.25,NULL
STORET-823783493,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2019-10-14,nitrate,groundwater,NULL,Water,Groundwater,0,8.0999999999999996,NULL,mg/L as N,0.25,NULL
STORET-823783494,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2019-10-14,nitrate,groundwater,NULL,Water,Groundwater,0,8.0999999999999996,NULL,mg/L as N,0.25,NULL
STORET-778102051,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2018-10-29,nitrate,groundwater,NULL,Water,Groundwater,0,10.0,NULL,mg/L as N,0.25,NULL
STORET-797310042,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2019-05-06,nitrate,groundwater,NULL,Water,Groundwater,0,11.0,NULL,mg/L as N,0.25,NULL
STORET-735798757,PALERMOWELLFIELD_WQX-MW-DG-11,MW-DG-11,47.001531999999997,-122.9084919,17110016,53,53067,STORET,2018-05-21,nitrate,groundwater,NULL,Water,Groundwater,0,13.0,NULL,mg/L as N,0.25,NULL
STORET-735799076,PALERMOWELLFIELD_WQX-MW-DG-15,MW-DG-15,47.002534410499997,-122.90498768099999,17110016,53,53067,STORET,2018-05-24,nitrate,groundwater,NULL,Water,Groundwater,0,0.17999999999999999,NULL,mg/L as N,5.0000000000000003E-2,NULL
STORET-1039918412,PALERMOWELLFIELD_WQX-MW-DG-15,MW-DG-15,47.002534410499997,-122.90498768099999,17110016,53,53067,STORET,2024-06-18,nitrate,groundwater,NULL,Water,Groundwater,0,0.17000000000000001,NULL,mg/L as N,5.0000000000000003E-2,NULL
