OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WA,USGS Washington Water Science Center,USGS-12505448,"JOINT DRAIN 28 NEAR GRANGER, WA",Stream: Ditch,,17030003,,,,,46.33965830000000,-120.1413833000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12505450,"GRANGER DRAIN AT GRANGER, WA",Stream,,17030003,,,62.0,sq mi,46.34346299000000,-120.1869950000000,24000,1,seconds,Interpolated from MAP.,NAD83,720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508670,"DID 7 DRAIN NEAR MABTON, WA",Stream,,17030003,,,,,46.25888889000000,-120.0655556000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,650,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508785,"JOINT DRAIN NEAR S 1ST STREET AT SUNNYSIDE, WA",Stream: Canal,,17030003,,,,,46.32505000000000,-120.0203389000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,743,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508788,SULPHUR CR WASTEWAY AT SHELLER RD AT SUNNYSIDE WA,Stream: Canal,,17030003,,,,,46.33174167000000,-119.9799860000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,761,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508790,"DID 18 DRAIN AT SUNNYSIDE, WA",Stream,,17030003,14.7,sq mi,,,46.32457587000000,-119.9783750000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508810,"WASHOUT DRAIN AT SUNNYSIDE, WA",Stream,,17030003,,,,,46.30957576000000,-119.9911530000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508825,"JOINT DRAIN 40.2 NR TEAR RD NEAR SUNNYSIDE, WA",Stream: Canal,,17030003,,,,,46.28747778000000,-119.9975222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,694,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508835,"JOINT DRAIN FROM ROUGK LN NEAR SUNNYSIDE, WA",Stream: Canal,,17030003,,,,,46.33332778000000,-120.0332472000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,756,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508840,"DID 3 DRAIN NEAR SUNNYSIDE, WA",Stream,,17030003,18.8,sq mi,,,46.28263117000000,-120.0094867000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508850,"SULPHUR CREEK WASTEWAY NEAR SUNNYSIDE, WA",Stream,,17030003,,,160,sq mi,46.25068665000000,-120.0197646000000,24000,1,seconds,Interpolated from MAP.,NAD83,650,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508905,"DRAIN 35 OFF CHARVET RD, NR GRANDVIEW, WA",Stream: Canal,,17030003,,,,,46.23645278000000,-119.9629083000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,675,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508988,"DRAIN 31 AT WEST CHARVET RD AT MABTON, WA",Stream: Canal,,17030003,,,,,46.24006667000000,-119.9992639000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,658,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12508997,"GRANDVIEW DRAIN AT CHASE ROAD NEAR GRANDVIEW, WA",Stream,,17030003,,,,,46.22929850000000,-119.9255944000000,,1,seconds,Interpolated from MAP.,NAD83,690,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12509057,"JOINT DRAIN 1 AT BUS RD NEAR GRANDVIEW, WA",Stream: Canal,,17030003,,,,,46.19771667000000,-119.9185667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,693,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12509489,"YAKIMA RIVER AT PROSSER, WA",Stream,,17030003,,,,,46.21243610000000,-119.7656833000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,636,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12510500,"YAKIMA RIVER AT KIONA, WA",Stream,,17030003,5615,sq mi,,,46.25346748000000,-119.4780794000000,,1,seconds,Interpolated from MAP.,NAD83,454.41,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12511800,"YAKIMA RIVER AT VAN GIESEN BR NEAR RICHLAND, WA",Stream,,17030003,,,,,46.29707940000000,-119.3333527000000,24000,1,seconds,Interpolated from MAP.,NAD83,365,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,005,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-454401121262601,03N/11E-21E01   PAS19,Well,,17070105,,,,,45.73345318000000,-121.4417394000000,24000,.5,seconds,Reported.,NAD83,2168,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,039,Columbia Plateau basaltic-rock aquifers,,,,,240,ft,240,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-455217121280401,05N/11E-31R01  PAS01,Well,,17070105,,,,,45.87123166000000,-121.4689656000000,24000,5,seconds,Reported.,NAD83,1381,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,039,Columbia Plateau basaltic-rock aquifers,,,,19650203,600,ft,600,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460140118192801,06N/36E-37R01  PAS20,Well,,17070102,,,,,46.02727778000000,-118.3258889000000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,943,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,,787,ft,787,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460243118225401,07N/35E-36F03  PAS24,Well,,17070102,,,,,46.04522220000000,-118.3826667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,802,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,19470101,708,ft,708,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-460813118091301,08N/37E-26N01   PAS12,Well,,17070102,,,,,46.13747220000000,-118.1545833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1615,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,071,Columbia Plateau basaltic-rock aquifers,,,,19690430,512,ft,512,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461104119521901,08N/23E-13B01,Well,,17030003,,,,,46.18430556000000,-119.8719167000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,725,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20080206,185,ft,185,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461106119531501,08N/23E-11R01,Well,,17030003,,,,,46.18513889000000,-119.8875833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,762,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20121025,158,ft,158,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461134120012801,08N/22E-11L02,Well,,17030003,,,,,46.19269440000000,-120.0245556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,769,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20020708,144,ft,144,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461139119545901,08N/23E-10G01,Well,,17030003,,,,,46.19458330000000,-119.9172500000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,700,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19991018,145,ft,145,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461144119580701,08N/23E-08E01,Well,,17030003,,,,,46.19536110000000,-119.9697778000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,738,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19960627,90,ft,90,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461224119515801,08N/23E-01J01,Well,,17030003,,,,,46.20838889000000,-119.8773056000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,707,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,Unclassified Overburden,,19771219,105,ft,110,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461228119573501,08N/23E-05G01,Well,,17030003,,,,,46.20780556000000,-119.9596110000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,708,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20140613,140,ft,140,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461232119521001,08N/23E-01H02,Well,,17030003,,,,,46.20883330000000,-119.8694167000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,738,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,125,ft,125,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461233119524401,08N/23E-01F02,Well,,17030003,,,,,46.20916667000000,-119.8788333000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,707,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461239119582401,08N/23E-06H02,Well,,17030003,,,,,46.21091667000000,-119.9733889000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,706,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20001022,90,ft,90,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461307119540201,09N/23E-35K01,Well,,17030003,,,,,46.21850000000000,-119.9005833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,668,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19990803,98,ft,102,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461312119592001,09N/23E-31K01,Well,,17030003,,,,,46.21994440000000,-119.9889444000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,706,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20010418,142,ft,142,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461316119523701,09N/23E-36J01,Well,,17030003,,,,,46.22097220000000,-119.8770556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,771,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20080229,120,ft,123,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461316119560801,09N/23E-34M01,Well,,17030003,,,,,46.22108330000000,-119.9354722000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,670,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20050713,100,ft,100,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461402119522701,09N/23E-25J01,Well,,17030003,,,,,46.23402778000000,-119.8741667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,819,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19990210,85,ft,85,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461414119564501,09N/23E-28G01,Well,,17030003,,,,,46.23711110000000,-119.9457222000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,741,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20050802,160,ft,160,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461424119574801,09N/23E-29B02,Well,,17030003,,,,,46.24011110000000,-119.9631944000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,688,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20040929,180,ft,180,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461431119502001,09N/24E-29B01 PAS17,Well,,17030003,,,,,46.24179916000000,-119.8400360000000,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,53,005,Columbia Plateau basin-fill aquifers,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461432119541701,09N/23E-26B01,Well,,17030003,,,,,46.24230556000000,-119.9048056000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,830,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20030605,190,ft,190,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461435119553201,09N/23E-27B02,Well,,17030003,,,,,46.24302778000000,-119.9255556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,806,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20070320,145,ft,145,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461439119590401,09N/23E-19Q01,Well,,17030003,,,,,46.24405556000000,-119.9843889000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,672,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20050502,122,ft,122,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461446119565501,09N/23E-21P01,Well,,17030003,,,,,46.24611110000000,-119.9485833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,796,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19990907,145,ft,145,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461456119530501,09N/23E-24L01,Well,,17030003,,,,,46.24883330000000,-119.8847778000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,822,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19990615,125,ft,125,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461458120011201,09N/22E-23J01,Well,,17030003,,,,,46.24902778000000,-120.0211110000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,657,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,Ellensburg Formation,,19010101,85,ft,85,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461500120025101,09N/22E-22K01,Well,,17030003,,,,,46.25011110000000,-120.0474722000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,672,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19981210,96,ft,98,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461521119595101,09N/23E-19D03,Well,,17030003,,,,,46.25577778000000,-119.9985000000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,674,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19950414,96,ft,96,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461529119574701,09N/23E-20A01,Well,,17030003,,,,,46.25816667000000,-119.9630556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,750,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19930617,100,ft,100,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461559119545801,09N/23E-15H03,Well,,17030003,,,,,46.26627778000000,-119.9161389000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,781,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20050426,160,ft,160,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461608119541701,09N/23E-14G01,Well,,17030003,,,,,46.26883330000000,-119.9048333000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,816,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19901211,200,ft,200,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461617120015001,09N/22E-14B01,Well,,17030003,,,,,46.27136110000000,-120.0305833000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,698,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19990308,97,ft,97,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461618119592501,09N/23E-18C01,Well,,17030003,,,,,46.27175000000000,-119.9903610000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,718,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20071217,88,ft,100,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461620119564802,09N/23E-16C01D1,Well,,17030003,,,,,46.27213889000000,-119.9479167000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,728,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19930422,273,ft,273,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461622119531101,09N/23E-13C01,Well,,17030003,,,,,46.27283330000000,-119.8863056000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,877,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20100513,108,ft,108,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461622119560701,09N/23E-15D03,Well,,17030003,,,,,46.27247220000000,-119.9363333000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,742,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19931102,65,ft,65,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461622120000501,09N/22E-12R02,Well,,17030003,,,,,46.27291667000000,-120.0014167000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,725,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20010723,98,ft,98,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461640120035601,09N/22E-09J02,Well,,17030003,,,,,46.27769440000000,-120.0656110000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,664,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20150731,83,ft,85,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461645119594901,09N/23E-07M02,Well,,17030003,,,,,46.27916667000000,-119.9970556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,697,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,19960322,245,ft,245,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461648120021201,09N/22E-11M01,Well,,17030003,,,,,46.28000000000000,-120.0367222000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,703,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20050721,100,ft,100,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461653119562901,09N/23E-09H01,Well,,17030003,,,,,46.28133330000000,-119.9414167000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,761,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,20111012,179,ft,179,ft,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-461700119595400,JD 43.9 AT MABTON SUNNYSIDE ROAD,Stream,,17030003,,,27.3,sq mi,46.28333680000000,-119.9994058000000,24000,.01,seconds,Interpolated from MAP.,NAD83,680,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
